epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5517,2.05392,3.20708,1.97928,0.01133,0.85,0.021,0.00633,1.69544,3.24261,2.11413,4e-05,4e-05,4e-05
2,49.4305,1.58683,3.03594,1.69379,0.013,0.975,0.05552,0.02477,1.36841,3.10369,1.75014,9.802e-05,9.802e-05,9.802e-05
3,69.843,1.23375,2.60259,1.39446,0.01333,1,0.29271,0.17302,1.09082,2.85522,1.36258,0.000153664,0.000153664,0.000153664
4,91.3036,1.19695,2.26538,1.3142,0.01333,1,0.62914,0.44551,0.93609,2.49375,1.06828,0.000206932,0.000206932,0.000206932
5,112.903,1.11847,1.99498,1.23556,0.90084,0.525,0.77736,0.55214,1.01267,2.04023,1.0666,0.000257824,0.000257824,0.000257824
6,134.071,0.94544,1.52832,1.11243,0.81892,0.67846,0.85021,0.58586,1.06672,1.78335,1.11779,0.00030634,0.00030634,0.00030634
7,156.167,0.93092,1.37122,1.10291,0.80725,0.73308,0.83207,0.60501,1.03555,1.66833,1.09657,0.00035248,0.00035248,0.00035248
8,177.365,0.96162,1.24833,1.08264,0.80819,0.7,0.82212,0.60475,0.98564,1.62043,1.07074,0.000396244,0.000396244,0.000396244
9,198.761,0.93842,1.35288,1.06458,0.89624,0.64791,0.82552,0.60617,0.98559,1.79208,1.05774,0.000437632,0.000437632,0.000437632
10,220.533,0.89148,1.23918,1.03739,0.87231,0.575,0.76829,0.57748,1.01315,1.8966,1.07935,0.000476644,0.000476644,0.000476644
11,242.673,0.80127,1.07639,1.01868,0.77337,0.675,0.76676,0.5961,0.92393,1.48057,1.03,0.00051328,0.00051328,0.00051328
12,265.302,0.89917,1.09789,1.02942,0.79443,0.725,0.80804,0.60888,0.90749,1.45006,1.01195,0.00054754,0.00054754,0.00054754
13,287.106,0.79489,1.02208,0.99269,0.84534,0.68339,0.76665,0.56924,0.94703,1.58968,1.04028,0.000579424,0.000579424,0.000579424
14,310.419,0.80321,0.98288,1.02394,0.80736,0.575,0.73385,0.5529,0.99496,1.73218,1.07678,0.000608932,0.000608932,0.000608932
15,334.618,0.83201,1.01492,1.00948,0.81574,0.625,0.7123,0.54994,0.98056,1.65467,1.05538,0.000636064,0.000636064,0.000636064
